Kundnr,Dokumentnr,Datum,Artikelnr,Benämning,Antal,Enhet,Summa inkl. moms
1,1,1/23/2022,1,Målning + isättning,2.00,st,"12,500.00"
2,2,2/17/2022,2,Spackling/Målning/Tapetsering,88.00,h,"38,397.92"
2,2,2/17/2022,5,Material,1.00,utl,"2,202.00"
3,3,2/24/2022,1,Målning,1.00,st,"12,000.00"
4,4,3/7/2022,1,Målning,1.00,st,"7,200.00"
4,5,3/8/2022,1,Målning,-1.00,st,"-7,200.00"
4,6,3/8/2022,2,Målning,17.00,h,"5,950.00"
4,6,3/8/2022,5,Material,1.00,utl,"1,250.00"
4,8,4/6/2022,2,Målning,20.00,h,"10,000.00"
4,8,4/6/2022,5,Material,1.00,utl,"1,000.00"
5,7,4/5/2022,10,Patentering,7.82,h,"3,910.00"
5,7,4/5/2022,11,Bredspackling,31.25,h,"15,625.00"
5,7,4/5/2022,2,Målning,31.25,h,"15,625.00"
5,7,4/5/2022,5,Material,1.00,utl,"6,550.00"
5,7,4/5/2022,6,Grundarbete-Slipning-Snickerier,8.90,h,"3,893.75"
5,7,4/5/2022,7,Målning-snickerier,7.85,h,"3,925.00"
5,7,4/5/2022,8,Grundarbete-Rivning,7.80,h,"3,900.00"
5,7,4/5/2022,9,Drivmedel,1.00,utl,"3,275.00"
6,9,4/22/2022,2,Målning,72.27,h,"32,521.50"
6,9,4/22/2022,5,Material,1.00,utl,"1,845.00"
6,9,4/22/2022,7,Målning-snickerier,7.50,h,"3,000.00"
7,11,5/9/2022,2,Målning,22.50,h,"9,000.00"
7,11,5/9/2022,5,Material,1.00,utl,"1,875.00"
7,11,5/9/2022,8,Grundarbete-Rivning,23.50,h,"14,100.00"
7,11,5/9/2022,9,Drivmedel,1.00,utl,"1,152.50"
8,13,5/23/2022,12,Målning - Spackling,80.22,,"50,137.50"
8,13,5/23/2022,5,Material,1.00,utl,"8,812.50"
8,13,5/23/2022,9,Drivmedel,1.00,utl,"3,125.00"
9,14,6/23/2022,13,Dörrmålning,10.00,h,"4,000.00"
9,14,6/23/2022,14,Skrapning-Fönster,8.00,h,"3,200.00"
9,14,6/23/2022,15,Oljning-Fönster,8.00,h,"3,200.00"
9,14,6/23/2022,16,Skitt-Fönster,8.00,h,"3,200.00"
9,14,6/23/2022,17,Målning runt fönster/dörrar (fasad),10.00,h,"2,000.00"
9,14,6/23/2022,18,Grundmålning,8.00,h,"3,200.00"
9,14,6/23/2022,2,Målning,8.00,h,"3,200.00"
9,14,6/23/2022,5,Material,1.00,utl,"3,000.00"
9,14,6/23/2022,9,Drivmedel,1.00,utl,"1,000.00"
10,15,8/8/2022,2,Målning,30.00,h,"27,150.00"
11,16,8/8/2022,19,Fönstermålning,9.01,h,"9,010.00"
11,16,8/8/2022,2,Målning,30.00,h,"18,990.00"
11,16,8/8/2022,5,Material,1.00,utl,"4,000.00"
11,16,8/8/2022,9,Drivmedel,1.00,utl,"1,000.00"
11,40,7/30/2023,,Färdigmålning staket + fasad på sida och baksida av huset,10,h,"7,000.00"
11,40,7/30/2023,,Grundmålning staket + fasad på sida och baksida av hus,10,h,"7,000.00"
11,40,7/30/2023,5,Material,1,utl,"1,800.00"
11,40,7/30/2023,9,Drivmedel,1,utl,400
12,17,9/5/2022,2,Målning,44.00,h,"27,500.00"
14,19,10/3/2022,11,Bredspackling,6.25,h,"5,000.00"
15,20,10/10/2022,13,Dörrmålning,10.40,h,"7,800.00"
15,20,10/10/2022,19,Fönstermålning,35.75,h,"28,600.00"
15,20,10/10/2022,23,Målning-luckor,14.00,h,"8,400.00"
15,20,10/10/2022,9,Drivmedel,1.00,utl,"4,500.00"
15,27,12/22/2022,2,Målning/arbete,33,h,"21,450.00"
15,27,12/22/2022,8,Grundarbete-Rivning-Bortforsling,33,h,"21,450.00"
16,22,10/18/2022,2,Målning,10.00,h,"6,000.00"
16,22,10/18/2022,24,Skrapning,8.00,h,"4,000.00"
17,23,11/14/2022,,Lås innedörrar,2.00,h,"3,000.00"
17,23,11/14/2022,12,Målning - Spackling av väggar och gipsvägg,10.00,,"8,000.00"
17,23,11/14/2022,13,Dörrmålning,800.00,h,"13,000.00"
17,23,11/14/2022,25,Reglering-gipsning av vägg,12.50,h,"10,000.00"
17,23,11/14/2022,26,trappmålning,10.00,h,"6,000.00"
17,23,11/14/2022,4,slipning-spackling av dörrar,400.00,h,"4,000.00"
17,24,12/4/2022,2,Målning,8,h,"4,000.00"
18,28,12/29/2022,1,Målning-Dekor-Inspelning,1,st,"39,000.00"
19,29,1/15/2023,,Tapetsering,25,h,"17,500.00"
19,29,1/15/2023,2,Målning,25,h,"17,500.00"
20,30,1/15/2023,2,Målning,41.3,h,"30,975.00"
21,31,2/14/2023,2,Målning,21.04,h,"19,725.00"
21,31,2/14/2023,5,Material,1,utl,"3,750.00"
21,31,2/14/2023,9,Drivmedel,1,utl,950
22,33,3/9/2023,,Material och drivmedel,1,utl,"4,200.00"
22,33,3/9/2023,,Målning av luckor + täcksidor 2x (färdigstrykning),20,h,"12,000.00"
22,33,3/9/2023,,Målning av luckor + täcksidor (grund),10,h,"6,000.00"
22,33,3/9/2023,,Målning av skelettet,5,h,"3,000.00"
22,33,3/9/2023,,Tvättning av luckor,5,h,"3,000.00"
23,35,3/29/2023,,material/drivmedel,1,utl,"6,250.00"
23,35,3/29/2023,,måla om klädkammare,10,h,"5,000.00"
23,35,3/29/2023,,spackling av skarvar och ovanför dörr,10,h,"3,750.00"
23,35,3/29/2023,,spackling/slipning/målning av litet sovrum,10,h,"6,250.00"
23,35,3/29/2023,,spackling/slipning/målning av stort sovrum,10,h,"7,500.00"
23,35,3/29/2023,,spackling/slipning/målning av vardagsrum,10,h,"11,250.00"
24,36,4/17/2023,,Målning av 2 vilorum,1,st,"4,500.00"
24,36,4/17/2023,,Målning av 9 väggar,1,st,"25,000.00"
24,36,4/17/2023,,Målning av socklar,1,st,500
26,38,6/12/2023,,Dörrmålning,1,,"1,250.00"
26,38,6/12/2023,,Material och drivmedel,1,,"1,875.00"
26,38,6/12/2023,,Målning av garderob,1,,"1,875.00"
26,38,6/12/2023,,Takmålning,1,,625
26,38,6/12/2023,,Väggmålning,4,,"5,000.00"
28,41,7/30/2023,,behandla golv med hårdvax,8.04,h,"10,050.00"
28,41,7/30/2023,,"Slipning av golv med tre gånger med 40, 60 och sist 100 papper",20.72,h,"25,900.00"
28,41,7/30/2023,,spackla ojämnheter eller skador,8.04,h,"10,050.00"
